"","tag","sp.x","quadrat.x","dbh.x","hom.x","Height..m.","Notes"
"369",180252,"ACSAS2",1805,39,1.37,"3.3",""
"370",180262,"ACSA3",1805,147,1.37,"18.0",""
"371",180266,"QUAL",1805,364,NA,"17.9",""
"372",180272,"ACSAS2",1805,67,1.37,"2.2","leaning from neighboring fallen tree"
"373",180282,"ACSA3C",1806,59,1.42,"10.1",""
"374",180292,"ACSA3C",1806,124,1.37,"15.1",""
"375",180302,"CATO6",1806,174.5,1.37,"17.5",""
"376",180312,"ACSA3",1806,36,1.37,"3.9",""
"377",180322,"ACSA3C",1806,62,1.37,"9.3",""
"378",180332,"FRAM2",1807,434,1.37,"25.9",""
"379",180342,"FRCA13",1807,15.4,1.37,"3.2",""
"380",180352,"OSVI",1807,30,0.82,"4.3",""
"381",180362,"OSVI",1807,30,1.39,"2.9",""
"382",180370,"QUAL",1807,331,NA,"28.5",""
"383",180372,"ACSA3",1807,25.8,1.37,"3.2",""
"384",180383,"FRCA13",1807,16.8,1.37,"1.7",""
"385",180394,"CATO6",1807,405,1.37,"27.2",""
"386",180395,"QUAL",1807,335,NA,"44.1",""
"387",180399,"QUAL",1808,550,NA,"38.8",""
"388",180400,"QUAL",1808,522.5,NA,"33.9",""
"389",180404,"ACSA3",1808,65,1.37,"7.3",""
"390",180414,"ACSAL",1808,169,1.37,"24.1",""
"391",180424,"TIAM",1808,101.5,1.37,"14.3",""
"392",180434,"FRCA13",1808,15.6,1.37,"1.8",""
"393",190179,"OSVI",1904,45,1.37,"4.3",""
"394",190189,"ACSA3",1904,68.5,1.37,"5.5",""
"395",190199,"VIRU",1904,61,1.37,"2.4",""
"396",190203,"QUAL",1904,369,NA,"32.8",""
"397",190209,"CAOV3",1904,211,1.37,"17.7",""
"398",190219,"CACA38",1905,311,1.37,"13.7",""
"399",190229,"QUAL",1905,310.5,1.37,"22.1",""
"400",190239,"QUFA",1905,408,1.37,"28.0",""
"401",190249,"FAGR",1906,120.5,1.32,"16.0",""
"402",190259,"CATO6",1906,212,1.37,"21.7",""
"403",190260,"LIST2",1906,305,NA,"29.0",""
"404",190269,"CATO6",1906,297,1.37,"24.2",""
"405",190279,"ULAL",1907,104.5,1.37,"14.3",""
"406",190289,"ACSA3",1907,67,1.39,"7.3",""
"407",190299,"FAGR",1907,36,0.97,"2.7",""
"408",190309,"CAGL8",1907,227,1.37,"16.9",""
"409",190319,"ACSA3",1907,23.8,1.39,"2.2",""
